day,price,,,
1/8/19,28.64297,,,
1/8/19,28.25548,,,
1/8/19,27.56575,,,
1/8/19,27.01884,,,
1/8/19,27.67982,,,
1/8/19,31.04656,,,
1/8/19,32.7954,,,
1/8/19,28.38357,,,
1/8/19,24.93743,,,
1/8/19,24.48192,,,
1/8/19,25.3174,,,
1/8/19,25.67087,,,
1/8/19,27.35609,,,
1/8/19,28.3645,,,
1/8/19,29.85146,,,
1/8/19,30.41231,,,
1/8/19,31.55192,,,
1/8/19,36.18381,,,
1/8/19,44.54315,,,
1/8/19,60.90004,,,
1/8/19,45.28662,,,
1/8/19,38.22552,,,
1/8/19,33.20515,,,
1/8/19,29.81493,,,
2/8/19,29.33087,,,
2/8/19,27.17777,,,
2/8/19,26.78212,,,
2/8/19,24.95531,,,
2/8/19,26.30439,,,
2/8/19,29.07305,,,
2/8/19,32.00583,,,
2/8/19,28.47341,,,
2/8/19,24.12999,,,
2/8/19,23.94685,,,
2/8/19,26.08056,,,
2/8/19,27.7069,,,
2/8/19,28.52398,,,
2/8/19,31.30926,,,
2/8/19,35.88745,,,
2/8/19,35.31482,,,
2/8/19,39.89788,,,
2/8/19,41.69037,,,
2/8/19,47.06421,,,
2/8/19,65.18727,,,
2/8/19,50.83565,,,
2/8/19,42.3931,,,
2/8/19,33.87423,,,
2/8/19,33.24477,,,
3/8/19,30.35656,,,
3/8/19,28.27428,,,
3/8/19,26.77899,,,
3/8/19,26.46385,,,
3/8/19,26.65916,,,
3/8/19,27.26772,,,
3/8/19,28.06275,,,
3/8/19,25.2674,,,
3/8/19,20.35543,,,
3/8/19,21.19299,,,
3/8/19,23.60822,,,
3/8/19,26.14242,,,
3/8/19,27.37944,,,
3/8/19,29.74556,,,
3/8/19,35.32535,,,
3/8/19,37.48265,,,
3/8/19,38.76386,,,
3/8/19,41.96002,,,
3/8/19,51.75763,,,
3/8/19,63.21835,,,
3/8/19,45.24699,,,
3/8/19,41.67677,,,
3/8/19,33.4666,,,
3/8/19,31.58516,,,
4/8/19,31.70084,,,
4/8/19,30.41619,,,
4/8/19,28.66967,,,
4/8/19,28.0067,,,
4/8/19,27.24958,,,
4/8/19,27.52374,,,
4/8/19,27.56648,,,
4/8/19,22.98885,,,
4/8/19,16.47012,,,
4/8/19,16.75955,,,
4/8/19,21.31431,,,
4/8/19,25.30847,,,
4/8/19,27.22156,,,
4/8/19,31.02563,,,
4/8/19,33.05694,,,
4/8/19,36.31035,,,
4/8/19,38.38269,,,
4/8/19,41.84369,,,
4/8/19,51.23454,,,
4/8/19,73.04377,,,
4/8/19,51.23624,,,
4/8/19,41.4683,,,
4/8/19,36.31973,,,
4/8/19,31.64008,,,
5/8/19,31.45057,,,
5/8/19,28.79023,,,
5/8/19,27.72235,,,
5/8/19,27.18679,,,
5/8/19,27.68889,,,
5/8/19,31.69474,,,
5/8/19,37.19693,,,
5/8/19,32.58314,,,
5/8/19,29.03521,,,
5/8/19,27.73336,,,
5/8/19,29.25057,,,
5/8/19,31.14297,,,
5/8/19,34.12526,,,
5/8/19,36.73633,,,
5/8/19,36.71048,,,
5/8/19,40.27989,,,
5/8/19,45.8184,,,
5/8/19,46.93698,,,
5/8/19,71.80403,,,
5/8/19,72.67251335,,,
5/8/19,60.96513,,,
5/8/19,46.17743,,,
5/8/19,37.97584,,,
5/8/19,34.23574,,,
6/8/19,30.21196,,,
6/8/19,27.90098,,,
6/8/19,27.40273,,,
6/8/19,26.66673,,,
6/8/19,26.91228,,,
6/8/19,28.19528,,,
6/8/19,30.83702,,,
6/8/19,28.79585,,,
6/8/19,26.44715,,,
6/8/19,26.78456,,,
6/8/19,28.32342,,,
6/8/19,30.65835,,,
6/8/19,33.48317,,,
6/8/19,37.1791,,,
6/8/19,38.06912,,,
6/8/19,35.97357,,,
6/8/19,45.09551,,,
6/8/19,48.29397,,,
6/8/19,63.01184,,,
6/8/19,78.46662,,,
6/8/19,50.87596,,,
6/8/19,42.7147,,,
6/8/19,35.82603,,,
6/8/19,31.88273,,,
7/8/19,33.07386,,,
7/8/19,30.84696,,,
7/8/19,28.93795,,,
7/8/19,27.99152,,,
7/8/19,28.25237,,,
7/8/19,31.78819,,,
7/8/19,31.6352,,,
7/8/19,29.23568,,,
7/8/19,26.14294,,,
7/8/19,26.08074,,,
7/8/19,27.02229,,,
7/8/19,27.69085,,,
7/8/19,29.13986,,,
