day,price
1/8/20,26.68107
1/8/20,26.23415
1/8/20,25.51216
1/8/20,24.56736
1/8/20,24.25522
1/8/20,24.86899
1/8/20,26.47469
1/8/20,18.95526
1/8/20,13.75216
1/8/20,15.11929
1/8/20,18.78826
1/8/20,22.61586
1/8/20,26.46179
1/8/20,27.0946
1/8/20,29.40074
1/8/20,32.323
1/8/20,35.90598
1/8/20,41.78911
1/8/20,57.04947
1/8/20,68.01826471
1/8/20,48.78641
1/8/20,39.40352
1/8/20,30.11513
1/8/20,29.04287
2/8/20,26.93547
2/8/20,26.16334
2/8/20,24.22275
2/8/20,23.86792
2/8/20,23.49344
2/8/20,26.12756
2/8/20,23.30895
2/8/20,15.32482
2/8/20,9.424675201
2/8/20,10.16251646
2/8/20,12.68702
2/8/20,16.5898
2/8/20,21.3748
2/8/20,24.32019
2/8/20,26.24202
2/8/20,26.65677
2/8/20,30.68435
2/8/20,31.76723
2/8/20,38.52977
2/8/20,55.52723
2/8/20,39.56868
2/8/20,33.57513
2/8/20,29.01337
2/8/20,25.9237
3/8/20,24.1534
3/8/20,23.33976
3/8/20,21.9159
3/8/20,21.53499
3/8/20,21.91726
3/8/20,25.09136
3/8/20,25.72128
3/8/20,19.91873
3/8/20,13.65298
3/8/20,14.43376
3/8/20,15.19381
3/8/20,18.68481
3/8/20,22.50528
3/8/20,24.89943
3/8/20,26.49417
3/8/20,26.18812
3/8/20,29.57694
3/8/20,32.01857
3/8/20,46.17179
3/8/20,67.44169
3/8/20,41.93583
3/8/20,36.99003
3/8/20,29.15659
3/8/20,26.98384
4/8/20,23.23892
4/8/20,22.97193
4/8/20,20.82003
4/8/20,20.24694
4/8/20,20.65715
4/8/20,22.79969
4/8/20,28.34608
4/8/20,20.42099
4/8/20,15.28698
4/8/20,15.69186
4/8/20,17.36663
4/8/20,19.71581
4/8/20,22.01359
4/8/20,24.77303
4/8/20,24.1426
4/8/20,25.80482
4/8/20,25.44351
4/8/20,27.85932
4/8/20,37.85625
4/8/20,53.61587
4/8/20,39.93597
4/8/20,32.79672
4/8/20,26.09244
4/8/20,24.23489
5/8/20,24.16319
5/8/20,22.77
5/8/20,21.27345
5/8/20,20.75792
5/8/20,21.21
5/8/20,24.71154
5/8/20,33.18456
5/8/20,21.25546
5/8/20,16.45724
5/8/20,15.65823
5/8/20,16.57185
5/8/20,17.9447
5/8/20,20.5336
5/8/20,21.84068
5/8/20,22.34978
5/8/20,24.78746
5/8/20,24.16017
5/8/20,27.18792
5/8/20,34.90473
5/8/20,48.37675
5/8/20,38.2508
5/8/20,32.19323
5/8/20,25.25994
5/8/20,25.05505
6/8/20,23.66201
6/8/20,23.31599
6/8/20,22.64664
6/8/20,22.52151
6/8/20,22.81705
6/8/20,25.14905
6/8/20,33.25593
6/8/20,22.08684
6/8/20,15.34865
6/8/20,14.82176
6/8/20,14.311
6/8/20,15.14681
6/8/20,14.93283
6/8/20,15.98
6/8/20,19.37713
6/8/20,21.38342
6/8/20,21.70658
6/8/20,24.69186
6/8/20,32.38405
6/8/20,46.68595
6/8/20,37.60889
6/8/20,31.81166
6/8/20,26.47796
6/8/20,25.79004
7/8/20,21.73568
7/8/20,21.74998
7/8/20,20.30797
7/8/20,20.24248
7/8/20,20.91789
7/8/20,23.04074
7/8/20,30.70535
7/8/20,21.55794
7/8/20,14.59812
7/8/20,13.72967
7/8/20,15.03131
7/8/20,17.11852
7/8/20,19.11281
7/8/20,21.30668
7/8/20,22.66346
7/8/20,24.14496
7/8/20,22.71385
7/8/20,26.35569
7/8/20,36.00678
7/8/20,48.98021
7/8/20,35.99809
7/8/20,32.26177
7/8/20,26.24754
7/8/20,25.48268
8/8/20,23.51617
8/8/20,23.65411
8/8/20,22.7519
8/8/20,22.866
8/8/20,23.07007
8/8/20,23.35134
8/8/20,26.7666
8/8/20,18.15073
8/8/20,8.949071215
8/8/20,10.15054405
8/8/20,11.32231
8/8/20,14.42371
8/8/20,17.73164
8/8/20,21.96306
8/8/20,22.58891
8/8/20,23.88128
8/8/20,25.78752
8/8/20,26.77211
8/8/20,40.15715
8/8/20,52.12036
8/8/20,36.97957
8/8/20,31.93742
8/8/20,25.53132
8/8/20,24.43023
9/8/20,25.58622
9/8/20,24.74589
9/8/20,25.41206
9/8/20,24.50331
9/8/20,24.56984
9/8/20,24.88032
9/8/20,25.96121
9/8/20,15.85476
9/8/20,10.13914547
9/8/20,10.96937637
9/8/20,11.2349706
9/8/20,15.19016
9/8/20,18.20827
9/8/20,22.10626
9/8/20,23.9713
9/8/20,26.26291
9/8/20,25.93411
9/8/20,30.97929
9/8/20,43.21201
9/8/20,54.80698
9/8/20,43.18874
9/8/20,32.7545
