time,original load,load
1,0.599,1.797
2,0.559,1.677
3,0.251,0.753
4,0.128,0.384
5,0.144,0.432
6,0.144,0.432
7,0.176,0.528
8,1.001,3.003
9,0.431,1.293
10,0.374,1.122
11,0.831,2.493
12,3.902,4.803299543
13,2.624,4.858154943
14,0.502,1.506
15,0.415,1.245
16,0.559,1.677
17,0.55,1.65
18,1.359,4.077
19,3.4110001,4.95810733
20,1.668,5.004
21,0.777,2.331
22,0.508,1.524
23,0.315,0.945
24,0.115,0.345
25,0.089,0.267
26,0.115,0.345
27,0.112,0.336
28,0.087,0.261
29,0.114,0.342
30,0.104,0.312
31,0.099,0.297
32,0.285,0.855
33,0.558,1.674
34,0.311,0.933
35,0.327,0.981
36,0.312,0.936
37,0.35,1.05
38,1.464,4.392
39,0.488,1.464
40,0.394,1.182
41,0.445,1.335
42,0.28,0.84
43,0.384,1.152
44,0.381,1.143
45,0.377,1.131
46,0.946,2.838
47,0.662,1.986
48,0.474,1.422
49,0.284,0.852
50,0.108,0.324
51,0.09,0.27
52,0.114,0.342
53,0.101,0.303
54,0.102,0.306
55,0.7,2.1
56,0.152,0.456
57,0.215,0.645
58,0.31,0.93
59,0.374,1.122
60,0.129,0.387
61,0.108,0.324
62,2.632,5.078550471
63,1.797,4.985458325
64,0.385,1.155
65,0.542,1.626
66,1.346,4.038
67,2.108,5.096139278
68,0.662,1.986
69,1.055,3.165
70,0.709,2.127
71,0.578,1.734
72,0.544,1.632
73,0.447,1.341
74,0.123,0.369
75,0.11,0.33
76,0.127,0.381
77,0.106,0.318
78,0.111,0.333
79,0.122,0.366
80,0.279,0.837
81,0.592,1.776
82,0.228,0.684
83,0.358,1.074
84,0.345,1.035
85,0.413,1.239
86,0.31,0.93
87,0.367,1.101
88,0.386,1.158
89,0.304,0.912
90,0.776,2.328
91,0.615,1.845
92,0.606,1.818
93,0.479,1.437
94,0.585,1.755
95,0.439,1.317
96,0.142,0.426
97,0.097,0.291
98,0.107,0.321
99,0.098,0.294
100,0.088,0.264
101,0.106,0.318
102,0.082,0.246
103,0.103,0.309
104,0.69,2.07
105,1.638,4.914
106,0.316,0.948
107,0.326,0.978
108,0.272,0.816
109,0.258,0.774
110,0.282,0.846
111,0.322,0.966
112,0.395,1.185
113,0.49,1.47
114,0.906,2.718
115,0.837,2.511
116,0.646,1.938
117,0.775,2.325
118,0.706,2.118
119,0.43,1.29
120,0.092,0.276
121,0.11,0.33
122,0.089,0.267
123,0.082,0.246
124,0.114,0.342
125,0.089,0.267
126,0.08,0.24
127,0.168,0.504
128,0.186,0.558
129,0.192,0.576
130,0.387,1.161
131,0.276,0.828
132,0.121,0.363
133,0.12,0.36
134,0.133,0.399
135,0.521,1.563
136,0.368,1.104
137,0.372,1.116
138,0.389,1.167
139,0.584,1.752
140,0.36,1.08
141,0.347,1.041
142,0.394,1.182
143,0.412,1.236
144,0.462,1.386
145,0.085,0.255
146,0.105,0.315
147,0.092,0.276
148,0.108,0.324
149,0.132,0.396
150,0.086,0.258
151,0.137,0.411
152,0.156,0.468
153,0.106,0.318
154,0.226,0.678
155,0.459,1.377
156,0.271,0.813
157,0.266,0.798
158,1.618,4.854
159,1.881,5.005370359
160,0.39,1.17
161,0.468,1.404
162,0.521,1.563
163,2.3070001,5.132009267
164,0.922,2.766
165,1.13,3.39
166,2.266,4.896049244
167,2.206,4.911441789
168,1.108,3.324
169,0.188,0.564
170,0.122,0.366
171,0.095,0.285
172,0.114,0.342
173,0.089,0.267
174,0.11,0.33
175,0.178,0.534
176,0.105,0.315
177,0.25,0.75
178,0.242,0.726
179,0.533,1.599
180,2.129,4.964244075
181,2.9620001,4.92348217
182,2.012,4.911100371
183,0.826,2.478
184,0.542,1.626
185,0.492,1.476
186,0.489,1.467
187,0.737,2.211
188,0.579,1.737
189,0.474,1.422
190,0.487,1.461
191,0.459,1.377
192,0.215,0.645
193,0.139,0.417
194,0.078,0.234
195,0.104,0.312
196,0.076,0.228
197,0.104,0.312
198,0.078,0.234
199,0.133,0.399
200,0.09,0.27
201,0.142,0.426
202,0.208,0.624
203,0.551,1.653
204,0.518,1.554
205,0.236,0.708
206,0.26,0.78
207,0.248,0.744
208,0.289,0.867
209,0.175,0.525
210,0.396,1.188
211,0.558,1.674
212,0.522,1.566
213,0.499,1.497
214,0.701,2.103
215,0.614,1.842
216,0.265,0.795
217,0.116,0.348
218,0.09,0.27
219,0.11,0.33
220,0.084,0.252
221,0.11,0.33
222,0.1,0.3
223,0.115,0.345
224,0.862,2.586
225,0.299,0.897
226,0.172,0.516
227,0.275,0.825
228,0.255,0.765
229,0.399,1.197
230,0.272,0.816
231,0.354,1.062
232,0.367,1.101
233,0.344,1.032
234,0.363,1.089
235,0.494,1.482
236,0.314,0.942
237,0.397,1.191
238,0.431,1.293
239,0.356,1.068
240,0.419,1.257
241,0.281,0.843
242,0.091,0.273
243,0.132,0.396
244,0.103,0.309
245,0.128,0.384
246,0.109,0.327
247,0.214,0.642
248,0.299,0.897
249,0.418,1.254
250,0.197,0.591
251,0.217,0.651
252,0.376,1.128
253,0.282,0.846
254,0.266,0.798
255,0.34,1.02
256,0.452,1.356
257,0.181,0.543
258,0.106,0.318
259,0.134,0.402
260,0.126,0.378
261,0.245,0.735
262,0.589,1.767
263,0.485,1.455
264,0.376,1.128
265,0.164,0.492
266,0.085,0.255
267,0.099,0.297
268,0.083,0.249
269,0.099,0.297
270,0.08,0.24
271,0.167,0.501
272,0.246,0.738
273,0.335,1.005
274,0.263,0.789
275,0.156,0.468
276,0.374,1.122
277,0.415,1.245
278,0.178,0.534
279,0.141,0.423
280,0.128,0.384
281,0.148,0.444
282,0.234,0.702
283,1.784,5.010402027
284,0.785,2.355
285,0.621,1.863
286,0.77,2.31
287,0.629,1.887
288,0.348,1.044
289,0.105,0.315
290,0.111,0.333
291,0.086,0.258
292,0.107,0.321
293,0.088,0.264
294,0.123,0.369
295,0.168,0.504
296,0.123,0.369
297,0.434,1.302
298,1.162,3.486
299,0.442,1.326
300,0.201,0.603
301,0.159,0.477
302,0.387,1.161
303,0.299,0.897
304,0.34,1.02
305,0.295,0.885
306,0.439,1.317
307,0.34,1.02
308,0.409,1.227
309,0.45,1.35
310,0.462,1.386
311,0.428,1.284
312,0.375,1.125
313,1.335,4.005
314,0.084,0.252
315,0.085,0.255
316,0.084,0.252
317,0.085,0.255
318,0.112,0.336
319,0.604,1.812
320,1.281,3.843
321,1.464,4.392
322,2.986,5.045182098
323,1.89,5.048498614
324,1.149,3.447
325,1.691,5.073
326,0.392,1.176
327,0.371,1.113
328,1.817,4.918333982
329,1.754,5.252685231
330,2.217,4.704530307
331,1.118,3.354
332,0.625,1.875
333,0.457,1.371
334,0.611,1.833
335,0.4,1.2
336,0.43,1.29
337,1.421,4.263
338,0.202,0.606
339,0.16,0.48
340,0.083,0.249
341,0.079,0.237
342,0.082,0.246
343,1.237,3.711
344,0.212,0.636
345,2.245,5.093974243
346,1.107,3.321
347,0.634,1.902
348,1.122,3.366
349,0.446,1.338
350,0.196,0.588
351,0.241,0.723
352,0.242,0.726
353,0.389,1.167
354,1.544,4.632
355,2.2449999,5.10273647
356,1.804,5.128321433
357,0.57,1.71
358,0.714,2.142
359,0.492,1.476
360,0.162,0.486
361,0.088,0.264
362,0.09,0.27
363,0.109,0.327
364,0.09,0.27
365,0.082,0.246
366,0.785,2.355
367,2.121,5.029040562
368,0.915,2.745
369,0.344,1.032
370,0.461,1.383
371,0.246,0.738
372,0.176,0.528
373,0.141,0.423
374,0.135,0.405
375,0.138,0.414
376,0.169,0.507
377,0.419,1.257
378,0.863,2.589
379,0.481,1.443
